model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,CA,small car,7,22,30,25,7,yes
AUDI A5,3.2,6.0,SemiAuto-6,4WD,Gasoline,CA,small car,7,18,27,21,5,no
AUDI A5,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,21,27,23,6,no
AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,FA,small car,6,22,30,25,7,yes
AUDI A5,3.2,6.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,18,27,21,5,no
AUDI A5 Cabriolet,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,7,20,26,23,6,yes
AUDI A5 Cabriolet,2.0,4.0,CVT,2WD,Gasoline,CA,small car,7,23,30,26,7,yes
AUDI A5 Cabriolet,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,20,26,23,6,no
AUDI A5 Cabriolet,2.0,4.0,CVT,2WD,Gasoline,FA,small car,6,23,30,26,7,yes
AUDI A6,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,7,18,26,21,5,no
AUDI A6,3.2,6.0,CVT,2WD,Gasoline,CA,midsize car,7,18,28,22,6,yes
AUDI A6,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6,18,26,21,5,no
AUDI A6,3.2,6.0,CVT,2WD,Gasoline,FA,midsize car,6,18,28,22,6,no
AUDI A6,4.2,8.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6,16,23,18,4,no
AUDI A6,4.2,8.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,6,16,23,18,4,no
AUDI A6 Avant,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,station wagon,7,18,26,21,5,no
AUDI A6 Avant,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,station wagon,6,18,26,21,5,no
AUDI A8,4.2,8.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6,16,23,18,4,no
AUDI A8,4.2,8.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,6,16,23,18,4,no
AUDI A8 L,4.2,8.0,SemiAuto-6,4WD,Gasoline,FA,large car,6,16,23,18,4,no
AUDI A8 L,4.2,8.0,SemiAuto-6,4WD,Gasoline,CA,large car,6,16,23,18,4,no
AUDI Q5,3.2,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7,18,23,20,5,no
AUDI Q5,3.2,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6,18,23,20,5,no
AUDI Q7,3.0,6.0,SemiAuto-6,4WD,Diesel,CA,SUV,Mod,17,24,20,Mod,no
AUDI Q7,3.6,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7,14,19,16,3,no
AUDI Q7,4.2,8.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7,13,18,15,2,no
AUDI Q7,3.0,6.0,SemiAuto-6,4WD,Diesel,FA,SUV,Mod,17,24,20,Mod,no
AUDI Q7,3.6,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6,14,19,16,3,no
AUDI Q7,4.2,8.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6,13,18,15,2,no
AUDI R8,4.2,8.0,Man-6,4WD,Gasoline,FA,small car,6,12,19,15,2,no
AUDI R8,4.2,8.0,AutoMan-6,4WD,Gasoline,FA,small car,6,13,18,15,2,no
AUDI R8,4.2,8.0,Man-6,4WD,Gasoline,CA,small car,6,12,19,15,2,no
