model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,midsize car,3,24,32,27,6,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
AUDI A6,2.0,4.0,AMS-7,4WD,Gasoline,midsize car,5,24,32,27,6,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A6,3.0,6.0,AMS-7,4WD,Gasoline,midsize car,5,22,29,24,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A6 Allroad,3.0,6.0,AMS-7,4WD,Gasoline,station wagon,5,20,26,22,4,No,mod_high,mod_high,mod_high,mod_high,medium,medium,medium
AUDI A7,3.0,6.0,AMS-7,4WD,Gasoline,midsize car,5,22,29,24,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,5,17,26,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
AUDI A8 L,4.0,8.0,SemiAuto-8,4WD,Gasoline,large car,3,15,23,18,3,No,high,high,medium,low,medium,low,medium
AUDI Q3,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,19,27,22,4,No,medium,medium,high,medium,mod_high,medium,medium
AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,small SUV,5,22,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,19,23,21,4,No,medium,medium,medium,medium,medium,medium,medium
AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,5,17,21,18,3,No,mod_high,mod_high,mod_high,medium,low,low,medium
AUDI Q8,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,17,21,18,3,No,mod_high,mod_high,medium,medium,low,low,medium
AUDI R8,5.2,10.0,AMS-7,4WD,Gasoline,small car,1,13,20,16,2,No,high,high,low,low,low,low,low
AUDI R8 Spyder,5.2,10.0,AMS-7,4WD,Gasoline,small car,1,13,20,16,2,No,high,high,low,low,low,low,low
AUDI RS Q8,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,19,15,2,No,high,high,medium,low,low,low,low
AUDI RS3,2.5,5.0,AMS-7,4WD,Gasoline,small car,3,19,28,23,5,No,medium,medium,medium,medium,mod_high,mod_high,mod_high
AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,small car,3,22,29,25,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
AUDI S4,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,5,20,27,23,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI S5,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,5,20,27,23,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI S5 Cabriolet,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,5,19,26,22,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
AUDI S5 Sportback,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,20,27,23,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI S6,2.9,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,18,28,22,4,No,medium,mod_high,mod_high,medium,mod_high,medium,medium
AUDI S7,2.9,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,18,28,22,4,No,medium,mod_high,mod_high,medium,mod_high,medium,medium
AUDI S8,4.0,8.0,SemiAuto-8,4WD,Gasoline,large car,3,13,22,16,2,No,high,high,medium,low,low,low,low
AUDI SQ5,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,18,23,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
AUDI SQ7,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,21,17,3,No,high,high,medium,low,low,low,medium
AUDI SQ8,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,21,17,3,No,high,high,medium,low,low,low,medium
AUDI TT Coupe,2.0,4.0,AMS-7,4WD,Gasoline,small car,7,23,31,26,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI TT RS,2.5,5.0,AMS-7,4WD,Gasoline,small car,3,19,29,23,5,No,medium,medium,medium,medium,mod_high,mod_high,mod_high
AUDI TT Roadster,2.0,4.0,AMS-7,4WD,Gasoline,small car,7,23,31,26,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI TTS Coupe,2.0,4.0,AMS-7,4WD,Gasoline,small car,3,23,29,25,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
BENTLEY Bentayga,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,14,23,17,3,No,high,high,medium,low,medium,low,medium
BENTLEY Bentayga,6.0,12.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,12,17,14,1,No,high,high,medium,low,low,low,low
BENTLEY Chiron,8.0,16.0,AMS-7,4WD,Gasoline,small car,1,9,14,11,1,No,high,high,low,low,low,low,low
BENTLEY Continental GT,4.0,8.0,AMS-8,4WD,Gasoline,small car,3,16,26,19,3,No,high,high,medium,low,medium,medium,medium
BENTLEY Continental GT,6.0,12.0,AMS-8,4WD,Gasoline,small car,3,12,20,15,2,No,high,high,medium,low,low,low,low
BENTLEY Continental GT Convertible,4.0,8.0,AMS-8,4WD,Gasoline,small car,3,16,26,19,3,No,high,high,medium,low,medium,medium,medium
BENTLEY Continental GT Convertible,6.0,12.0,AMS-8,4WD,Gasoline,small car,3,12,19,15,2,No,high,high,medium,low,low,low,low
