model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
BMW X5 xDrive50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,22,18,3,No,high,high,medium,low,low,low,medium
BMW X6 M,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No,high,high,medium,low,low,low,low
BMW X6 M Competition,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No,high,high,medium,low,low,low,low
BMW X6 M50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,22,18,3,No,high,high,medium,low,low,low,medium
BMW X6 sDrive40i,3.0,6.0,SemiAuto-8,2WD,Gasoline,standard SUV,3,21,26,23,5,No,mod_high,mod_high,medium,mod_high,medium,mod_high,mod_high
BMW X6 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,20,26,22,4,No,mod_high,mod_high,medium,mod_high,medium,medium,medium
BMW X7 M50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,21,17,3,No,high,high,medium,low,low,low,medium
BMW X7 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,20,25,22,4,No,mod_high,mod_high,medium,mod_high,medium,medium,medium
BMW X7 xDrive50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,21,17,3,No,high,high,medium,low,low,low,medium
BMW Z4,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24,32,27,6,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW Z4 M40i,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,5,24,31,26,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BUGATTI Divo,8.0,16.0,AMS-7,4WD,Gasoline,small car,1,9,13,10,1,No,high,high,low,low,low,low,low
BUICK Enclave,3.6,6.0,Auto-9,2WD,Gasoline,standard SUV,6,18,26,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
BUICK Enclave,3.6,6.0,Auto-9,4WD,Gasoline,standard SUV,6,17,25,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
BUICK Encore,1.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,25,30,27,6,No,low,medium,mod_high,high,mod_high,mod_high,mod_high
BUICK Encore,1.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,24,29,26,5,No,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
BUICK Encore GX,1.2,3.0,CVT,2WD,Gasoline,small SUV,7,26,30,28,6,No,low,low,high,high,mod_high,high,mod_high
BUICK Encore GX,1.3,3.0,Auto-9,4WD,Gasoline,small SUV,7,26,29,28,6,No,low,low,high,high,mod_high,high,mod_high
BUICK Encore GX,1.3,3.0,CVT,2WD,Gasoline,small SUV,7,30,32,31,7,Yes,low,low,high,high,mod_high,high,high
BUICK Envision,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,20,25,22,4,No,medium,medium,mod_high,mod_high,medium,medium,medium
BUICK Envision,2.5,4.0,Auto-6,2WD,Gasoline,small SUV,5,22,29,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
BUICK Envision,2.5,4.0,Auto-6,4WD,Gasoline,small SUV,5,21,27,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
BUICK Regal,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5,21,29,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
BUICK Regal,2.0,4.0,SemiAuto-9,2WD,Gasoline,midsize car,5,22,32,26,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
BUICK Regal,3.6,6.0,SemiAuto-9,4WD,Gasoline,midsize car,6,19,27,22,4,No,mod_high,mod_high,mod_high,medium,mod_high,medium,medium
BUICK Regal Tour X,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,5,21,29,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CADILLAC CT4,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,6,23,34,27,6,No,medium,medium,mod_high,mod_high,high,mod_high,mod_high
CADILLAC CT4,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,6,23,32,26,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CADILLAC CT4,2.7,4.0,SemiAuto-10,2WD,Gasoline,small car,6,20,30,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CADILLAC CT4,2.7,4.0,SemiAuto-10,4WD,Gasoline,small car,6,20,28,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CADILLAC CT4 V,2.7,4.0,SemiAuto-10,2WD,Gasoline,small car,6,20,29,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CADILLAC CT4 V,2.7,4.0,SemiAuto-10,4WD,Gasoline,small car,6,20,28,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CADILLAC CT5,2.0,4.0,SemiAuto-10,2WD,Gasoline,midsize car,6,23,32,26,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CADILLAC CT5,2.0,4.0,SemiAuto-10,4WD,Gasoline,midsize car,6,21,31,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CADILLAC CT5,3.0,6.0,SemiAuto-10,2WD,Gasoline,midsize car,5,19,26,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CADILLAC CT5,3.0,6.0,SemiAuto-10,4WD,Gasoline,midsize car,5,18,25,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CADILLAC CT5 V,3.0,6.0,SemiAuto-10,2WD,Gasoline,midsize car,5,18,26,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CADILLAC CT5 V,3.0,6.0,SemiAuto-10,4WD,Gasoline,midsize car,5,17,25,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CADILLAC CT6,3.6,6.0,SemiAuto-10,4WD,Gasoline,large car,5,18,27,21,4,No,mod_high,mod_high,mod_high,medium,mod_high,medium,medium
CADILLAC CT6,4.2,8.0,SemiAuto-10,4WD,Gasoline,large car,3,14,25,17,3,No,high,high,medium,low,medium,low,medium
CADILLAC Escalade,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No,high,high,medium,low,medium,low,medium
CADILLAC Escalade,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,21,17,3,No,high,high,medium,low,low,low,medium
CADILLAC XT4,2.0,4.0,SemiAuto-9,2WD,Gasoline,small SUV,6,24,30,26,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CADILLAC XT4,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,6,22,29,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CADILLAC XT5,2.0,4.0,SemiAuto-9,2WD,Gasoline,small SUV,6,21,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CADILLAC XT5,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,6,21,26,23,5,No,medium,medium,mod_high,mod_high,medium,mod_high,mod_high
CADILLAC XT5,3.6,6.0,SemiAuto-9,2WD,Gasoline,small SUV,6,18,26,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CADILLAC XT5,3.6,6.0,SemiAuto-9,4WD,Gasoline,small SUV,6,18,25,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CADILLAC XT6,3.6,6.0,SemiAuto-9,2WD,Gasoline,small SUV,6,18,25,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CADILLAC XT6,3.6,6.0,SemiAuto-9,4WD,Gasoline,small SUV,6,17,24,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CHEVROLET Blazer,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,6,21,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CHEVROLET Blazer,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,6,21,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CHEVROLET Blazer,2.5,4.0,Auto-9,2WD,Gasoline,small SUV,5,21,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CHEVROLET Blazer,3.6,6.0,Auto-9,2WD,Gasoline,small SUV,6,19,26,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CHEVROLET Blazer,3.6,6.0,Auto-9,4WD,Gasoline,small SUV,6,18,25,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CHEVROLET Camaro,2.0,4.0,Man-6,2WD,Gasoline,small car,5,20,30,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CHEVROLET Camaro,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,5,22,31,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CHEVROLET Camaro,3.6,6.0,Man-6,2WD,Gasoline,small car,6,16,26,20,4,No,mod_high,mod_high,mod_high,low,medium,medium,medium
CHEVROLET Camaro,3.6,6.0,SemiAuto-10,2WD,Gasoline,small car,6,19,29,22,4,No,mod_high,mod_high,mod_high,medium,mod_high,medium,medium
CHEVROLET Camaro,6.2,8.0,Man-6,2WD,Gasoline,small car,1,14,20,16,2,No,high,high,low,low,low,low,low
CHEVROLET Camaro,6.2,8.0,Man-6,2WD,Gasoline,small car,1,16,24,19,3,No,high,high,low,low,medium,medium,medium
CHEVROLET Camaro,6.2,8.0,SemiAuto-10,2WD,Gasoline,small car,1,13,21,16,2,No,high,high,low,low,low,low,low
CHEVROLET Camaro,6.2,8.0,SemiAuto-10,2WD,Gasoline,small car,1,16,27,20,4,No,high,high,low,low,mod_high,medium,medium
CHEVROLET Colorado,2.5,4.0,Auto-6,2WD,Gasoline,pickup,5,20,26,22,4,No,medium,medium,mod_high,mod_high,medium,medium,medium
CHEVROLET Colorado,2.5,4.0,Auto-6,4WD,Gasoline,pickup,5,19,24,21,4,No,medium,medium,mod_high,medium,medium,medium,medium
CHEVROLET Colorado,2.8,4.0,Auto-6,2WD,Diesel,pickup,3,20,30,23,4,No,medium,medium,medium,mod_high,mod_high,mod_high,medium
CHEVROLET Colorado,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,19,28,22,4,No,medium,medium,medium,medium,mod_high,medium,medium
CHEVROLET Colorado,3.6,6.0,Auto-8,2WD,Gasoline,pickup,5,18,25,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CHEVROLET Colorado,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,17,24,19,3,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CHEVROLET Colorado ZR2,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,18,22,19,3,No,medium,medium,medium,medium,low,medium,medium
CHEVROLET Colorado ZR2,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,16,18,17,3,No,mod_high,mod_high,mod_high,low,low,low,medium
CHEVROLET Corvette,6.2,8.0,SemiAuto-8,2WD,Gasoline,small car,3,15,27,19,3,No,high,high,medium,low,mod_high,medium,medium
CHEVROLET Equinox,1.5,4.0,Auto-6,2WD,Gasoline,small SUV,7,26,31,28,6,No,low,medium,high,high,mod_high,high,mod_high
CHEVROLET Equinox,1.5,4.0,Auto-6,4WD,Gasoline,small SUV,7,25,30,27,6,No,low,medium,high,high,mod_high,mod_high,mod_high
CHEVROLET Equinox,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,5,22,29,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CHEVROLET Equinox,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,22,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CHEVROLET Impala,3.6,6.0,SemiAuto-6,2WD,Gasoline,large car,7,19,28,22,4,No,mod_high,mod_high,high,medium,mod_high,medium,medium
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,midsize car,6,29,36,32,7,Yes,low,medium,mod_high,high,high,high,high
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,midsize car,7,29,36,32,7,Yes,low,medium,high,high,high,high,high
CHEVROLET Malibu,2.0,4.0,Auto-9,2WD,Gasoline,midsize car,5,22,32,26,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CHEVROLET Silverado,2.7,4.0,Auto-8,2WD,Gasoline,pickup,6,19,22,20,4,No,medium,medium,mod_high,medium,low,medium,medium
CHEVROLET Silverado,2.7,4.0,Auto-8,2WD,Gasoline,pickup,6,20,23,21,4,No,medium,medium,mod_high,mod_high,medium,medium,medium
CHEVROLET Silverado,2.7,4.0,Auto-8,4WD,Gasoline,pickup,6,19,22,20,4,No,medium,medium,mod_high,medium,low,medium,medium
CHEVROLET Silverado,3.0,6.0,Auto-10,2WD,Diesel,pickup,1,23,33,27,5,No,mod_high,mod_high,low,mod_high,high,mod_high,mod_high
CHEVROLET Silverado,3.0,6.0,Auto-10,4WD,Diesel,pickup,1,23,29,25,4,No,mod_high,mod_high,low,mod_high,mod_high,mod_high,medium
CHEVROLET Silverado,4.3,6.0,Auto-6,2WD,Gasoline,pickup,6,16,21,17,3,No,high,mod_high,mod_high,low,low,low,medium
CHEVROLET Silverado,4.3,6.0,Auto-6,2WD,Gasoline,special purpose,6,15,19,17,3,No,high,mod_high,mod_high,low,low,low,medium
CHEVROLET Silverado,4.3,6.0,Auto-6,4WD,Gasoline,pickup,6,15,20,17,3,No,high,mod_high,mod_high,low,low,low,medium
CHEVROLET Silverado,4.3,6.0,Auto-6,4WD,Gasoline,special purpose,6,14,16,15,2,No,high,mod_high,mod_high,low,low,low,low
CHEVROLET Silverado,5.3,8.0,Auto-10,4WD,Gasoline,pickup,5,16,22,19,3,No,high,high,mod_high,low,low,medium,medium
CHEVROLET Silverado,5.3,8.0,Auto-6,2WD,Gasoline,pickup,5,15,21,17,3,No,high,high,mod_high,low,low,low,medium
CHEVROLET Silverado,5.3,8.0,Auto-6,2WD,Gasoline,special purpose,5,14,18,15,2,No,high,high,mod_high,low,low,low,low
CHEVROLET Silverado,5.3,8.0,Auto-6,4WD,Gasoline,pickup,5,15,20,17,3,No,high,high,mod_high,low,low,low,medium
CHEVROLET Silverado,5.3,8.0,Auto-6,4WD,Gasoline,special purpose,5,14,17,15,2,No,high,high,mod_high,low,low,low,low
CHEVROLET Silverado,5.3,8.0,Auto-8,2WD,Gasoline,pickup,5,17,23,19,3,No,high,high,mod_high,medium,medium,medium,medium
CHEVROLET Silverado,5.3,8.0,Auto-8,2WD,Gasoline,pickup,5,17,24,20,4,No,high,high,mod_high,medium,medium,medium,medium
CHEVROLET Silverado,5.3,8.0,Auto-8,4WD,Gasoline,pickup,5,16,22,18,3,No,high,high,mod_high,low,low,low,medium
CHEVROLET Silverado,6.2,8.0,Auto-10,4WD,Gasoline,pickup,3,16,20,17,3,No,high,high,medium,low,low,low,medium
CHEVROLET Silverado 4WD Trail Boss,4.3,6.0,Auto-6,4WD,Gasoline,pickup,6,14,18,16,2,No,high,mod_high,mod_high,low,low,low,low
CHEVROLET Silverado 4WD Trail Boss,5.3,8.0,Auto-10,4WD,Gasoline,pickup,5,16,21,18,3,No,high,high,mod_high,low,low,low,medium
CHEVROLET Silverado 4WD Trail Boss,5.3,8.0,Auto-6,4WD,Gasoline,pickup,5,14,18,16,2,No,high,high,mod_high,low,low,low,low
CHEVROLET Silverado 4WD Trail Boss,5.3,8.0,Auto-8,4WD,Gasoline,pickup,5,16,21,18,3,No,high,high,mod_high,low,low,low,medium
CHEVROLET Silverado 4WD Trail Boss,6.2,8.0,Auto-10,4WD,Gasoline,pickup,3,14,18,15,2,No,high,high,medium,low,low,low,low
CHEVROLET Silverado 4WD Trail Boss,6.2,8.0,Auto-10,4WD,Gasoline,pickup,3,15,19,17,3,No,high,high,medium,low,low,low,medium
CHEVROLET Sonic,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5,26,34,29,6,No,low,medium,mod_high,high,high,high,mod_high
CHEVROLET Sonic 5,1.4,4.0,SemiAuto-6,2WD,Gasoline,station wagon,5,26,34,29,6,No,low,medium,mod_high,high,high,high,mod_high
CHEVROLET Spark,1.4,4.0,CVT,2WD,Gasoline,small car,5,30,38,33,7,Yes,low,medium,mod_high,high,high,high,high
CHEVROLET Spark,1.4,4.0,Man-5,2WD,Gasoline,small car,5,29,38,33,7,Yes,low,medium,mod_high,high,high,high,high
CHEVROLET Spark Activ,1.4,4.0,CVT,2WD,Gasoline,small car,5,30,37,33,7,Yes,low,medium,mod_high,high,high,high,high
CHEVROLET Spark Activ,1.4,4.0,Man-5,2WD,Gasoline,small car,5,29,37,32,7,Yes,low,medium,mod_high,high,high,high,high
CHEVROLET Suburban 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,15,22,18,3,No,high,high,medium,low,low,low,medium
CHEVROLET Suburban 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,14,21,16,2,No,high,high,medium,low,low,low,low
CHEVROLET Suburban 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No,high,high,medium,low,medium,low,medium
CHEVROLET Suburban 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,20,16,2,No,high,high,medium,low,low,low,low
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,15,22,18,3,No,high,high,medium,low,low,low,medium
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,15,21,17,3,No,high,high,medium,low,low,low,medium
CHEVROLET Tahoe 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No,high,high,medium,low,medium,low,medium
CHEVROLET Tahoe 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,22,17,3,No,high,high,medium,low,low,low,medium
CHEVROLET Traverse,3.6,6.0,Auto-9,2WD,Gasoline,standard SUV,6,18,27,21,4,No,mod_high,mod_high,mod_high,medium,mod_high,medium,medium
CHEVROLET Traverse,3.6,6.0,Auto-9,4WD,Gasoline,standard SUV,6,17,25,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
CHEVROLET Trax,1.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,26,31,28,6,No,low,medium,mod_high,high,mod_high,high,mod_high
CHEVROLET Trax,1.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,24,29,26,5,No,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
CHRYSLER 300,3.6,6.0,Auto-8,2WD,Gasoline,large car,3,19,30,23,5,No,mod_high,mod_high,medium,medium,mod_high,mod_high,mod_high
CHRYSLER 300,3.6,6.0,Auto-8,4WD,Gasoline,large car,3,18,27,21,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
CHRYSLER 300,5.7,8.0,Auto-8,2WD,Gasoline,large car,3,16,25,19,3,No,high,high,medium,low,medium,medium,medium
CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,minivan,7,19,28,22,4,No,mod_high,mod_high,high,medium,mod_high,medium,medium
CHRYSLER Voyager,3.6,6.0,Auto-9,2WD,Gasoline,minivan,7,19,28,22,4,No,mod_high,mod_high,high,medium,mod_high,medium,medium
DODGE Challenger,3.6,6.0,Auto-8,2WD,Gasoline,midsize car,3,19,30,23,5,No,mod_high,mod_high,medium,medium,mod_high,mod_high,mod_high
DODGE Challenger,3.6,6.0,Auto-8,4WD,Gasoline,midsize car,3,18,27,21,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
DODGE Challenger,5.7,8.0,Auto-8,2WD,Gasoline,midsize car,3,16,25,19,3,No,high,high,medium,low,medium,medium,medium
DODGE Challenger,5.7,8.0,Man-6,2WD,Gasoline,midsize car,1,15,23,18,3,No,high,high,low,low,medium,low,medium
DODGE Challenger,6.4,8.0,Auto-8,2WD,Gasoline,midsize car,1,15,24,18,3,No,high,high,low,low,medium,low,medium
DODGE Challenger,6.4,8.0,Man-6,2WD,Gasoline,midsize car,1,14,23,17,3,No,high,high,low,low,medium,low,medium
DODGE Challenger SRT,6.2,8.0,Auto-8,2WD,Gasoline,midsize car,1,13,22,16,2,No,high,high,low,low,low,low,low
DODGE Challenger SRT,6.2,8.0,Man-6,2WD,Gasoline,midsize car,1,13,21,16,2,No,high,high,low,low,low,low,low
DODGE Challenger SRT Widebody,6.2,8.0,Auto-8,2WD,Gasoline,midsize car,1,13,21,15,2,No,high,high,low,low,low,low,low
DODGE Challenger SRT Widebody,6.2,8.0,Man-6,2WD,Gasoline,midsize car,1,13,21,16,2,No,high,high,low,low,low,low,low
DODGE Challenger Widebody,6.4,8.0,Auto-8,2WD,Gasoline,midsize car,1,15,24,18,3,No,high,high,low,low,medium,low,medium
DODGE Challenger Widebody,6.4,8.0,Man-6,2WD,Gasoline,midsize car,1,14,23,17,3,No,high,high,low,low,medium,low,medium
DODGE Charger,3.6,6.0,Auto-8,2WD,Gasoline,large car,3,19,30,23,5,No,mod_high,mod_high,medium,medium,mod_high,mod_high,mod_high
DODGE Charger,3.6,6.0,Auto-8,4WD,Gasoline,large car,3,18,27,21,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
DODGE Charger,5.7,8.0,Auto-8,2WD,Gasoline,large car,3,16,25,19,3,No,high,high,medium,low,medium,medium,medium
DODGE Charger,6.4,8.0,Auto-8,2WD,Gasoline,large car,1,15,24,18,3,No,high,high,low,low,medium,low,medium
DODGE Charger SRT Widebody,6.2,8.0,Auto-8,2WD,Gasoline,large car,1,12,21,15,2,No,high,high,low,low,low,low,low
DODGE Charger Widebody,6.4,8.0,Auto-8,2WD,Gasoline,large car,1,15,24,18,3,No,high,high,low,low,medium,low,medium
DODGE Durango,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,7,19,26,21,4,No,mod_high,mod_high,high,medium,medium,medium,medium
DODGE Durango,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,7,18,25,21,4,No,mod_high,mod_high,high,medium,medium,medium,medium
DODGE Durango,5.7,8.0,Auto-8,2WD,Gasoline,standard SUV,3,14,22,17,3,No,high,high,medium,low,low,low,medium
DODGE Durango,5.7,8.0,Auto-8,4WD,Gasoline,standard SUV,3,14,22,17,3,No,high,high,medium,low,low,low,medium
DODGE Durango  SRT,6.4,8.0,Auto-8,4WD,Gasoline,standard SUV,1,13,19,15,2,No,high,high,low,low,low,low,low
DODGE Grand Caravan,3.6,6.0,Auto-6,2WD,Gasoline,minivan,5,17,25,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
DODGE Journey,2.4,4.0,Auto-4,2WD,Gasoline,small SUV,3,19,25,21,4,No,medium,medium,medium,medium,medium,medium,medium
FERRARI 488 Pista,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,15,20,17,3,No,high,high,medium,low,low,low,medium
FERRARI 488 Pista Spider,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,15,19,17,3,No,high,high,medium,low,low,low,medium
FERRARI 812 Superfast,6.5,12.0,AutoMan-7,2WD,Gasoline,small car,3,12,16,13,1,No,high,high,medium,low,low,low,low
FERRARI F8 Tributo,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,15,19,16,2,No,high,high,medium,low,low,low,low
FERRARI GTC4Lusso,6.3,12.0,AutoMan-7,4WD,Gasoline,small car,3,12,17,13,1,No,high,high,medium,low,low,low,low
FERRARI GTC4Lusso T,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,15,21,17,3,No,high,high,medium,low,low,low,medium
FERRARI Portofino,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,16,22,18,3,No,high,high,medium,low,low,low,medium
FIAT 124 Spider,1.4,4.0,Auto-6,2WD,Gasoline,small car,3,25,36,29,6,No,low,medium,medium,high,high,high,mod_high
FIAT 124 Spider,1.4,4.0,Man-6,2WD,Gasoline,small car,3,26,35,30,7,No,low,medium,medium,high,high,high,high
FIAT 500L,1.4,4.0,Auto-6,2WD,Gasoline,station wagon,3,22,30,25,5,No,low,medium,medium,mod_high,mod_high,mod_high,mod_high
FIAT 500X,1.3,4.0,Auto-9,4WD,Gasoline,small SUV,6,24,30,26,5,No,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD EcoSport,1.0,3.0,SemiAuto-6,2WD,Gasoline,small SUV,5,27,29,28,6,No,low,low,mod_high,high,mod_high,high,mod_high
FORD EcoSport,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,23,29,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Edge,2.0,4.0,Auto-8,2WD,Gasoline,small SUV,5,21,29,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Edge,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,5,21,28,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Edge,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,5,21,28,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Edge,2.7,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,19,26,21,4,No,medium,mod_high,mod_high,medium,medium,medium,medium
FORD Escape,1.5,3.0,Auto-8,2WD,Gasoline,small SUV,7,27,33,30,7,Yes,low,low,high,high,high,high,high
FORD Escape,1.5,3.0,Auto-8,4WD,Gasoline,small SUV,7,26,31,28,6,No,low,low,high,high,mod_high,high,mod_high
FORD Escape,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,5,23,31,26,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Escape HEV,2.5,4.0,CVT,2WD,Gasoline,small SUV,7,44,37,41,9,Yes,medium,medium,high,high,high,high,high
FORD Escape HEV,2.5,4.0,CVT,4WD,Gasoline,small SUV,7,43,37,40,9,Yes,medium,medium,high,high,high,high,high
FORD Expedition,3.5,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,5,17,23,19,3,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
FORD Expedition,3.5,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,5,17,22,19,3,No,mod_high,mod_high,mod_high,medium,low,medium,medium
FORD Expedition MAX,3.5,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,5,17,23,19,3,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
FORD Expedition MAX,3.5,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,5,16,21,18,3,No,mod_high,mod_high,mod_high,low,low,low,medium
FORD Explorer,2.3,4.0,SemiAuto-10,2WD,Gasoline,standard SUV,5,21,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Explorer,2.3,4.0,SemiAuto-10,4WD,Gasoline,standard SUV,5,20,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Explorer,3.0,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,5,18,24,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
FORD Explorer HEV,3.3,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,5,27,29,28,6,No,mod_high,mod_high,mod_high,high,mod_high,high,mod_high
