model_2010,displ_2010,cyl_2010,trans_2010,drive_2010,fuel_2010,cert_region_2010,veh_class_2010,air_pollution_score_2010,city_mpg_2010,hwy_mpg_2010,cmb_mpg_2010,greenhouse_gas_score_2010,smartway_2010,displ_level_2010,cyl_level_2010,air_pollution_score_level_2010,city_mpg_level_2010,hwy_mpg_level_2010,cmb_mpg_level_2010,greenhouse_gas_score_level_2010,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
ACURA RDX,2.3,4.0,SemiAuto-5,4WD,Gasoline,FA,SUV,6.0,17,22,19,4.0,no,low,medium,mod_high,medium,medium,medium,medium,ACURA RDX,2.0,4.0,SemiAuto-10,4WD,Gasoline,CA,small SUV,6,21,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA RDX,2.3,4.0,SemiAuto-5,4WD,Gasoline,FA,SUV,6.0,17,22,19,4.0,no,low,medium,mod_high,medium,medium,medium,medium,ACURA RDX,2.0,4.0,SemiAuto-10,4WD,Gasoline,FA,small SUV,6,21,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ASTON MARTIN DBS,5.9,12.0,Man-6,2WD,Gasoline,FA,small car,6.0,11,17,13,0.0,no,high,high,mod_high,low,low,low,low,ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,14,22,17,3,No,high,high,medium,low,low,low,medium
ASTON MARTIN DBS,5.9,12.0,Man-6,2WD,Gasoline,FA,small car,6.0,11,17,13,0.0,no,high,high,mod_high,low,low,low,low,ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,14,22,17,3,No,high,high,medium,low,low,low,medium
ASTON MARTIN DBS,5.9,12.0,SemiAuto-6,2WD,Gasoline,FA,small car,6.0,12,18,14,1.0,no,high,high,mod_high,low,low,low,low,ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,14,22,17,3,No,high,high,medium,low,low,low,medium
ASTON MARTIN DBS,5.9,12.0,SemiAuto-6,2WD,Gasoline,FA,small car,6.0,12,18,14,1.0,no,high,high,mod_high,low,low,low,low,ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,14,22,17,3,No,high,high,medium,low,low,low,medium
ASTON MARTIN DBS,5.9,12.0,Man-6,2WD,Gasoline,CA,small car,6.0,11,17,13,0.0,no,high,high,mod_high,low,low,low,low,ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,14,22,17,3,No,high,high,medium,low,low,low,medium
ASTON MARTIN DBS,5.9,12.0,Man-6,2WD,Gasoline,CA,small car,6.0,11,17,13,0.0,no,high,high,mod_high,low,low,low,low,ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,14,22,17,3,No,high,high,medium,low,low,low,medium
ASTON MARTIN DBS,5.9,12.0,SemiAuto-6,2WD,Gasoline,CA,small car,6.0,12,18,14,1.0,no,high,high,mod_high,low,low,low,low,ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,14,22,17,3,No,high,high,medium,low,low,low,medium
ASTON MARTIN DBS,5.9,12.0,SemiAuto-6,2WD,Gasoline,CA,small car,6.0,12,18,14,1.0,no,high,high,mod_high,low,low,low,low,ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,14,22,17,3,No,high,high,medium,low,low,low,medium
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,CA,station wagon,9.0,21,30,24,7.0,yes,low,medium,high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,CA,station wagon,9.0,21,30,24,7.0,yes,low,medium,high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,CA,station wagon,9.0,21,30,24,7.0,yes,low,medium,high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,CA,station wagon,9.0,21,30,24,7.0,yes,low,medium,high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,station wagon,9.0,22,28,24,7.0,yes,low,medium,high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,station wagon,9.0,22,28,24,7.0,yes,low,medium,high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,station wagon,9.0,22,28,24,7.0,yes,low,medium,high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,station wagon,9.0,22,28,24,7.0,yes,low,medium,high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,FA,station wagon,8.0,21,30,24,7.0,yes,low,medium,high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,FA,station wagon,8.0,21,30,24,7.0,yes,low,medium,high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,FA,station wagon,8.0,21,30,24,7.0,yes,low,medium,high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
