model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
ACURA TSX,2.4,4.0,SemiAuto-5,2WD,Gasoline,small car,6.0,21,30,25,7.0,yes
ACURA TSX,3.5,6.0,SemiAuto-5,2WD,Gasoline,small car,6.0,18,27,21,5.0,no
ACURA ZDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,SUV,7.0,16,23,19,4.0,no
ACURA ZDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,16,23,19,4.0,no
ASTON MARTIN DB9,5.9,12.0,Man-6,2WD,Gasoline,small car,6.0,11,17,13,0.0,no
ASTON MARTIN DB9,5.9,12.0,SemiAuto-6,2WD,Gasoline,small car,6.0,13,20,15,2.0,no
ASTON MARTIN DBS,5.9,12.0,Man-6,2WD,Gasoline,small car,6.0,11,17,13,0.0,no
ASTON MARTIN DBS,5.9,12.0,SemiAuto-6,2WD,Gasoline,small car,6.0,12,18,14,1.0,no
ASTON MARTIN Rapide,5.9,12.0,SemiAuto-6,2WD,Gasoline,small car,6.0,13,19,15,2.0,no
ASTON MARTIN V8 Vantage,4.7,8.0,Man-6,2WD,Gasoline,small car,6.0,12,19,14,1.0,no
ASTON MARTIN V8 Vantage,4.7,8.0,AutoMan-6,2WD,Gasoline,small car,6.0,14,20,16,3.0,no
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,station wagon,9.0,21,30,24,7.0,yes
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,station wagon,9.0,22,28,24,7.0,yes
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,station wagon,8.0,21,30,24,7.0,yes
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,station wagon,8.0,22,28,24,7.0,yes
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,station wagon,7.0,21,28,24,7.0,yes
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,station wagon,7.0,21,30,24,7.0,yes
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,station wagon,7.0,22,28,24,7.0,yes
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,station wagon,6.0,21,28,24,7.0,yes
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,station wagon,6.0,21,30,24,7.0,yes
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,station wagon,6.0,22,28,24,7.0,yes
AUDI A4,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,7.0,21,27,23,6.0,yes
AUDI A4,2.0,4.0,Man-6,4WD,Gasoline,small car,7.0,22,30,25,7.0,yes
AUDI A4,2.0,4.0,CVT,2WD,Gasoline,small car,7.0,23,30,26,7.0,yes
AUDI A4,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,6.0,21,27,23,6.0,no
AUDI A4,2.0,4.0,Man-6,4WD,Gasoline,small car,6.0,22,30,25,7.0,yes
AUDI A4,2.0,4.0,CVT,2WD,Gasoline,small car,6.0,23,30,26,7.0,yes
AUDI A4 Avant,2.0,4.0,SemiAuto-6,4WD,Gasoline,station wagon,7.0,21,27,23,6.0,yes
AUDI A4 Avant,2.0,4.0,SemiAuto-6,4WD,Gasoline,station wagon,6.0,21,27,23,6.0,no
AUDI A5,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,7.0,21,27,23,6.0,yes
AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,small car,7.0,22,30,25,7.0,yes
AUDI A5,3.2,6.0,SemiAuto-6,4WD,Gasoline,small car,7.0,18,27,21,5.0,no
AUDI A5,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,6.0,21,27,23,6.0,no
AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,small car,6.0,22,30,25,7.0,yes
AUDI A5,3.2,6.0,SemiAuto-6,4WD,Gasoline,small car,6.0,18,27,21,5.0,no
AUDI A5 Cabriolet,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,7.0,20,26,23,6.0,yes
AUDI A5 Cabriolet,2.0,4.0,CVT,2WD,Gasoline,small car,7.0,23,30,26,7.0,yes
AUDI A5 Cabriolet,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,6.0,20,26,23,6.0,no
AUDI A5 Cabriolet,2.0,4.0,CVT,2WD,Gasoline,small car,6.0,23,30,26,7.0,yes
AUDI A6,3.0,6.0,SemiAuto-6,4WD,Gasoline,midsize car,7.0,18,26,21,5.0,no
AUDI A6,3.2,6.0,CVT,2WD,Gasoline,midsize car,7.0,18,28,22,6.0,yes
AUDI A6,3.0,6.0,SemiAuto-6,4WD,Gasoline,midsize car,6.0,18,26,21,5.0,no
AUDI A6,3.2,6.0,CVT,2WD,Gasoline,midsize car,6.0,18,28,22,6.0,no
AUDI A6,4.2,8.0,SemiAuto-6,4WD,Gasoline,midsize car,6.0,16,23,18,4.0,no
AUDI A6 Avant,3.0,6.0,SemiAuto-6,4WD,Gasoline,station wagon,7.0,18,26,21,5.0,no
AUDI A6 Avant,3.0,6.0,SemiAuto-6,4WD,Gasoline,station wagon,6.0,18,26,21,5.0,no
AUDI A8,4.2,8.0,SemiAuto-6,4WD,Gasoline,midsize car,6.0,16,23,18,4.0,no
AUDI A8 L,4.2,8.0,SemiAuto-6,4WD,Gasoline,large car,6.0,16,23,18,4.0,no
AUDI Q5,3.2,6.0,SemiAuto-6,4WD,Gasoline,SUV,7.0,18,23,20,5.0,no
AUDI Q5,3.2,6.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,18,23,20,5.0,no
AUDI Q7,3.6,6.0,SemiAuto-6,4WD,Gasoline,SUV,7.0,14,19,16,3.0,no
AUDI Q7,4.2,8.0,SemiAuto-6,4WD,Gasoline,SUV,7.0,13,18,15,2.0,no
AUDI Q7,3.6,6.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,14,19,16,3.0,no
AUDI Q7,4.2,8.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,13,18,15,2.0,no
AUDI R8,4.2,8.0,Man-6,4WD,Gasoline,small car,6.0,12,19,15,2.0,no
AUDI R8,4.2,8.0,AutoMan-6,4WD,Gasoline,small car,6.0,13,18,15,2.0,no
AUDI R8,5.2,10.0,Man-6,4WD,Gasoline,small car,6.0,12,20,15,2.0,no
AUDI R8,5.2,10.0,AutoMan-6,4WD,Gasoline,small car,6.0,13,20,16,3.0,no
AUDI S4,3.0,6.0,Man-6,4WD,Gasoline,small car,7.0,18,27,21,5.0,no
AUDI S4,3.0,6.0,SemiAuto-7,4WD,Gasoline,small car,7.0,18,28,21,5.0,no
AUDI S4,3.0,6.0,Man-6,4WD,Gasoline,small car,6.0,18,27,21,5.0,no
AUDI S4,3.0,6.0,SemiAuto-7,4WD,Gasoline,small car,6.0,18,28,21,5.0,no
AUDI S5,4.2,8.0,Man-6,4WD,Gasoline,small car,6.0,14,22,17,3.0,no
AUDI S5,4.2,8.0,SemiAuto-6,4WD,Gasoline,small car,6.0,16,24,19,4.0,no
AUDI S5 Cabriolet,3.0,6.0,SemiAuto-7,4WD,Gasoline,small car,7.0,17,26,20,5.0,no
AUDI S5 Cabriolet,3.0,6.0,SemiAuto-7,4WD,Gasoline,small car,6.0,17,26,20,5.0,no
AUDI S6,5.2,10.0,SemiAuto-6,4WD,Gasoline,midsize car,6.0,14,19,16,3.0,no
AUDI TT Coupe,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,7.0,21,29,24,7.0,yes
AUDI TT Coupe,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,6.0,21,29,24,7.0,yes
AUDI TT Roadster,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,7.0,21,29,24,7.0,yes
AUDI TT Roadster,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,6.0,21,29,24,7.0,yes
BENTLEY Azure,6.8,8.0,Auto-6,2WD,Gasoline,small car,6.0,9,15,11,0.0,no
BENTLEY Brooklands,6.8,8.0,Auto-6,2WD,Gasoline,small car,6.0,9,15,11,0.0,no
BENTLEY Continental Flying Spur,6.0,12.0,SemiAuto-6,4WD,Gasoline,midsize car,6.0,10,17,12,0.0,no
BENTLEY Continental GT,6.0,12.0,SemiAuto-6,4WD,Gasoline,small car,6.0,10,17,13,0.0,no
BENTLEY Continental GTC,6.0,12.0,SemiAuto-6,4WD,Gasoline,small car,6.0,10,17,12,0.0,no
BENTLEY Continental Supersports,6.0,12.0,SemiAuto-6,4WD,Gasoline,small car,6.0,12,19,14,1.0,no
BMW 128Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,9.0,18,27,21,5.0,no
BMW 128Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,9.0,18,28,22,6.0,yes
BMW 128Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,7.0,18,27,21,5.0,no
BMW 128Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,18,28,22,6.0,yes
BMW 128Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,6.0,18,27,21,5.0,no
BMW 128Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,18,28,22,6.0,no
BMW 128i,3.0,6.0,Man-6,2WD,Gasoline,small car,9.0,18,28,22,6.0,yes
BMW 128i,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,9.0,18,28,22,6.0,yes
BMW 128i,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,18,28,22,6.0,yes
BMW 128i,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,7.0,18,28,22,6.0,yes
BMW 128i,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,18,28,22,6.0,no
BMW 128i,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,6.0,18,28,22,6.0,no
BMW 135i,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,18,25,20,5.0,no
BMW 135i,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,6.0,18,25,20,5.0,no
BMW 135i Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,17,26,20,5.0,no
BMW 135i Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,6.0,17,26,20,5.0,no
BMW 328Ci,3.0,6.0,Man-6,4WD,Gasoline,small car,9.0,17,25,20,5.0,no
BMW 328Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,small car,9.0,17,25,20,5.0,no
BMW 328Ci,3.0,6.0,Man-6,2WD,Gasoline,small car,9.0,18,28,22,6.0,yes
BMW 328Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,9.0,18,28,22,6.0,yes
BMW 328Ci,3.0,6.0,Man-6,4WD,Gasoline,small car,7.0,17,25,20,5.0,no
BMW 328Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,small car,7.0,17,25,20,5.0,no
BMW 328Ci,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,18,28,22,6.0,yes
BMW 328Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,7.0,18,28,22,6.0,yes
BMW 328Ci,3.0,6.0,Man-6,4WD,Gasoline,small car,6.0,17,25,20,5.0,no
BMW 328Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,small car,6.0,17,25,20,5.0,no
BMW 328Ci,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,18,28,22,6.0,no
BMW 328Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,6.0,18,28,22,6.0,no
BMW 328Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,9.0,17,26,20,5.0,no
BMW 328Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,9.0,18,27,21,5.0,no
BMW 328Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,17,26,20,5.0,no
BMW 328Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,7.0,18,27,21,5.0,no
BMW 328Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,17,26,20,5.0,no
BMW 328Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,6.0,18,27,21,5.0,no
BMW 328i,3.0,6.0,Man-6,4WD,Gasoline,small car,9.0,17,25,20,5.0,no
BMW 328i,3.0,6.0,SemiAuto-6,4WD,Gasoline,small car,9.0,17,25,20,5.0,no
BMW 328i,3.0,6.0,Man-6,2WD,Gasoline,small car,9.0,18,28,22,6.0,yes
BMW 328i,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,9.0,18,28,22,6.0,yes
BMW 328i,3.0,6.0,Man-6,4WD,Gasoline,small car,7.0,17,25,20,5.0,no
BMW 328i,3.0,6.0,SemiAuto-6,4WD,Gasoline,small car,7.0,17,25,20,5.0,no
BMW 328i,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,18,28,22,6.0,yes
BMW 328i,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,7.0,18,28,22,6.0,yes
BMW 328i,3.0,6.0,Man-6,4WD,Gasoline,small car,6.0,17,25,20,5.0,no
BMW 328i,3.0,6.0,SemiAuto-6,4WD,Gasoline,small car,6.0,17,25,20,5.0,no
BMW 328i,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,18,28,22,6.0,no
BMW 328i,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,6.0,18,28,22,6.0,no
BMW 328i Sport Wagon,3.0,6.0,Man-6,4WD,Gasoline,station wagon,7.0,17,25,20,5.0,no
BMW 328i Sport Wagon,3.0,6.0,SemiAuto-6,4WD,Gasoline,station wagon,7.0,17,25,20,5.0,no
BMW 328i Sport Wagon,3.0,6.0,Man-6,2WD,Gasoline,station wagon,7.0,17,26,20,5.0,no
BMW 328i Sport Wagon,3.0,6.0,SemiAuto-6,2WD,Gasoline,station wagon,7.0,18,27,21,5.0,no
BMW 328i Sport Wagon,3.0,6.0,Man-6,4WD,Gasoline,station wagon,6.0,17,25,20,5.0,no
BMW 328i Sport Wagon,3.0,6.0,SemiAuto-6,4WD,Gasoline,station wagon,6.0,17,25,20,5.0,no
BMW 328i Sport Wagon,3.0,6.0,Man-6,2WD,Gasoline,station wagon,6.0,17,26,20,5.0,no
BMW 328i Sport Wagon,3.0,6.0,SemiAuto-6,2WD,Gasoline,station wagon,6.0,18,27,21,5.0,no
BMW 335Ci,3.0,6.0,Man-6,4WD,Gasoline,small car,7.0,16,25,19,4.0,no
BMW 335Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,small car,7.0,17,25,20,5.0,no
BMW 335Ci,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,17,26,20,5.0,no
BMW 335Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,7.0,17,26,20,5.0,no
BMW 335Ci,3.0,6.0,Man-6,4WD,Gasoline,small car,6.0,16,25,19,4.0,no
BMW 335Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,small car,6.0,17,25,20,5.0,no
BMW 335Ci,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,17,26,20,5.0,no
BMW 335Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,6.0,17,26,20,5.0,no
BMW 335Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,17,26,20,5.0,no
BMW 335Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,7.0,17,26,20,5.0,no
BMW 335Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,17,26,20,5.0,no
BMW 335Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,6.0,17,26,20,5.0,no
BMW 335d,3.0,6.0,SemiAuto-6,2WD,Diesel,small car,6.0,23,36,27,6.0,no
BMW 335i,3.0,6.0,Man-6,4WD,Gasoline,small car,7.0,16,25,19,4.0,no
BMW 335i,3.0,6.0,SemiAuto-6,4WD,Gasoline,small car,7.0,17,25,20,5.0,no
BMW 335i,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,17,26,20,5.0,no
BMW 335i,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,7.0,17,26,20,5.0,no
BMW 335i,3.0,6.0,Man-6,4WD,Gasoline,small car,6.0,16,25,19,4.0,no
BMW 335i,3.0,6.0,SemiAuto-6,4WD,Gasoline,small car,6.0,17,25,20,5.0,no
BMW 335i,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,17,26,20,5.0,no
BMW 335i,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,6.0,17,26,20,5.0,no
BMW 528i,3.0,6.0,Man-6,4WD,Gasoline,midsize car,7.0,17,25,20,5.0,no
BMW 528i,3.0,6.0,SemiAuto-6,4WD,Gasoline,midsize car,7.0,17,25,20,5.0,no
BMW 528i,3.0,6.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,18,27,21,5.0,no
BMW 528i,3.0,6.0,Man-6,2WD,Gasoline,midsize car,7.0,18,28,22,6.0,yes
BMW 528i,3.0,6.0,Man-6,4WD,Gasoline,midsize car,6.0,17,25,20,5.0,no
BMW 528i,3.0,6.0,SemiAuto-6,4WD,Gasoline,midsize car,6.0,17,25,20,5.0,no
BMW 528i,3.0,6.0,SemiAuto-6,2WD,Gasoline,midsize car,6.0,18,27,21,5.0,no
BMW 528i,3.0,6.0,Man-6,2WD,Gasoline,midsize car,6.0,18,28,22,6.0,no
BMW 535i,3.0,6.0,Man-6,4WD,Gasoline,midsize car,6.0,16,25,19,4.0,no
BMW 535i,3.0,6.0,SemiAuto-6,4WD,Gasoline,midsize car,6.0,17,25,20,5.0,no
BMW 535i,3.0,6.0,SemiAuto-6,2WD,Gasoline,midsize car,6.0,17,26,20,5.0,no
BMW 535i,3.0,6.0,Man-6,2WD,Gasoline,midsize car,6.0,17,26,20,5.0,no
BMW 535i Gran Turismo,3.0,6.0,SemiAuto-8,2WD,Gasoline,large car,7.0,19,28,22,6.0,yes
BMW 535i Gran Turismo,3.0,6.0,SemiAuto-8,2WD,Gasoline,large car,6.0,19,28,22,6.0,no
BMW 535i Sport Wagon,3.0,6.0,Man-6,4WD,Gasoline,station wagon,6.0,16,23,18,4.0,no
BMW 535i Sport Wagon,3.0,6.0,SemiAuto-6,4WD,Gasoline,station wagon,6.0,16,24,19,4.0,no
BMW 550 GT,4.4,8.0,SemiAuto-8,2WD,Gasoline,large car,7.0,15,22,18,4.0,no
BMW 550 GT,4.4,8.0,SemiAuto-8,2WD,Gasoline,large car,6.0,15,22,18,4.0,no
BMW 550i,4.8,8.0,Man-6,2WD,Gasoline,midsize car,7.0,15,22,18,4.0,no
BMW 550i,4.8,8.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,15,23,18,4.0,no
BMW 550i GT,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,7.0,15,22,18,4.0,no
BMW 550i GT,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,6.0,15,22,18,4.0,no
BMW 650ci,4.8,8.0,Man-6,2WD,Gasoline,small car,7.0,15,22,18,4.0,no
BMW 650ci,4.8,8.0,SemiAuto-6,2WD,Gasoline,small car,7.0,15,23,18,4.0,no
BMW 650ci Convertible,4.8,8.0,Man-6,2WD,Gasoline,small car,7.0,14,21,16,3.0,no
BMW 650ci Convertible,4.8,8.0,SemiAuto-6,2WD,Gasoline,small car,7.0,15,23,18,4.0,no
BMW 750Li,4.4,8.0,SemiAuto-6,4WD,Gasoline,large car,7.0,14,20,16,3.0,no
BMW 750Li,4.4,8.0,SemiAuto-6,2WD,Gasoline,large car,7.0,14,21,17,3.0,no
BMW 750Li,4.4,8.0,SemiAuto-6,4WD,Gasoline,large car,6.0,14,20,16,3.0,no
BMW 750Li,4.4,8.0,SemiAuto-6,2WD,Gasoline,large car,6.0,14,21,17,3.0,no
BMW 750i,4.4,8.0,SemiAuto-6,4WD,Gasoline,large car,7.0,14,20,16,3.0,no
BMW 750i,4.4,8.0,SemiAuto-6,2WD,Gasoline,large car,7.0,15,22,17,3.0,no
BMW 750i,4.4,8.0,SemiAuto-6,4WD,Gasoline,large car,6.0,14,20,16,3.0,no
BMW 750i,4.4,8.0,SemiAuto-6,2WD,Gasoline,large car,6.0,15,22,17,3.0,no
BMW 760Li,6.0,12.0,SemiAuto-8,2WD,Gasoline,large car,7.0,13,19,15,2.0,no
BMW 760Li,6.0,12.0,SemiAuto-8,2WD,Gasoline,large car,6.0,13,19,15,2.0,no
BMW ActiveHybrid X6,4.4,8.0,SemiAuto-7,4WD,Gasoline,SUV,7.0,17,19,18,4.0,no
BMW ActiveHybrid X6,4.4,8.0,SemiAuto-7,4WD,Gasoline,SUV,6.0,17,19,18,4.0,no
BMW M3,4.0,8.0,SemiAuto-7,2WD,Gasoline,small car,6.0,14,20,16,3.0,no
BMW M3,4.0,8.0,Man-6,2WD,Gasoline,small car,6.0,14,20,16,3.0,no
BMW M3 Convertible,4.0,8.0,Man-6,2WD,Gasoline,small car,6.0,13,20,16,3.0,no
BMW M3 Convertible,4.0,8.0,SemiAuto-7,2WD,Gasoline,small car,6.0,14,20,16,3.0,no
BMW M3 Coupe,4.0,8.0,SemiAuto-7,2WD,Gasoline,small car,6.0,14,20,16,3.0,no
BMW M3 Coupe,4.0,8.0,Man-6,2WD,Gasoline,small car,6.0,14,20,16,3.0,no
BMW M5,5.0,10.0,Man-6,2WD,Gasoline,midsize car,6.0,11,17,13,0.0,no
BMW M5,5.0,10.0,SemiAuto-7,2WD,Gasoline,midsize car,6.0,11,17,13,0.0,no
BMW M6,5.0,10.0,Man-6,2WD,Gasoline,small car,6.0,11,17,13,0.0,no
BMW M6,5.0,10.0,SemiAuto-7,2WD,Gasoline,small car,6.0,11,17,13,0.0,no
BMW M6 Convertible,5.0,10.0,Man-6,2WD,Gasoline,small car,6.0,11,17,13,0.0,no
BMW M6 Convertible,5.0,10.0,SemiAuto-7,2WD,Gasoline,small car,6.0,11,17,13,0.0,no
BMW X3,3.0,6.0,Man-6,4WD,Gasoline,SUV,7.0,17,24,19,4.0,no
BMW X3,3.0,6.0,SemiAuto-6,4WD,Gasoline,SUV,7.0,17,24,20,5.0,no
BMW X3,3.0,6.0,Man-6,4WD,Gasoline,SUV,6.0,17,24,19,4.0,no
BMW X3,3.0,6.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,17,24,20,5.0,no
BMW X5,3.0,6.0,SemiAuto-6,4WD,Gasoline,SUV,7.0,15,21,18,4.0,no
BMW X5,4.8,8.0,SemiAuto-6,4WD,Gasoline,SUV,7.0,14,19,16,3.0,no
BMW X5,3.0,6.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,15,21,18,4.0,no
BMW X5,3.0,6.0,SemiAuto-6,4WD,Diesel,SUV,6.0,19,26,22,5.0,no
BMW X5,4.4,8.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,12,17,14,1.0,no
BMW X5,4.8,8.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,14,19,16,3.0,no
BMW X6,4.4,8.0,SemiAuto-6,4WD,Gasoline,SUV,7.0,13,18,15,2.0,no
BMW X6,3.0,6.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,15,21,17,3.0,no
BMW X6,4.4,8.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,12,17,14,1.0,no
BMW X6,4.4,8.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,13,18,15,2.0,no
BMW Z4,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,18,28,22,6.0,yes
BMW Z4,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,7.0,18,28,22,6.0,yes
BMW Z4,3.0,6.0,SemiAuto-7,2WD,Gasoline,small car,6.0,17,24,20,5.0,no
BMW Z4,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,18,25,20,5.0,no
BMW Z4,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,18,28,22,6.0,no
BMW Z4,3.0,6.0,SemiAuto-6,2WD,Gasoline,small car,6.0,18,28,22,6.0,no
BUGATTI Veyron,8.0,16.0,SemiAuto-7,4WD,Gasoline,small car,6.0,8,14,10,0.0,no
BUICK Allure,2.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,19,30,23,6.0,yes
BUICK Allure,3.0,6.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,16,25,19,4.0,no
BUICK Allure,3.0,6.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,17,26,20,5.0,no
BUICK Allure,3.6,6.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,17,27,21,5.0,no
BUICK Allure,3.6,6.0,SemiAuto-6,2WD,Gasoline,midsize car,6.0,17,27,21,5.0,no
BUICK Enclave,3.6,6.0,Auto-6,2WD,Gasoline,SUV,7.0,17,24,19,4.0,no
BUICK Enclave,3.6,6.0,Auto-6,4WD,Gasoline,SUV,7.0,16,22,18,4.0,no
BUICK Enclave,3.6,6.0,Auto-6,2WD,Gasoline,SUV,6.0,17,24,19,4.0,no
BUICK Enclave,3.6,6.0,Auto-6,4WD,Gasoline,SUV,6.0,16,22,18,4.0,no
BUICK Lacrosse,2.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,19,30,23,6.0,yes
BUICK Lacrosse,3.0,6.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,16,25,19,4.0,no
BUICK Lacrosse,3.0,6.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,17,26,20,5.0,no
BUICK Lacrosse,3.6,6.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,17,27,21,5.0,no
BUICK Lacrosse,3.6,6.0,SemiAuto-6,2WD,Gasoline,midsize car,6.0,17,27,21,5.0,no
