model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,SUV,7.0,16,21,18,4.0,no
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,SUV,6.0,16,21,18,4.0,no
ACURA RDX,2.3,4.0,SemiAuto-5,2WD,Gasoline,SUV,7.0,19,24,21,5.0,no
ACURA RDX,2.3,4.0,SemiAuto-5,4WD,Gasoline,SUV,7.0,17,22,19,4.0,no
ACURA RDX,2.3,4.0,SemiAuto-5,2WD,Gasoline,SUV,6.0,19,24,21,5.0,no
ACURA RDX,2.3,4.0,SemiAuto-5,4WD,Gasoline,SUV,6.0,17,22,19,4.0,no
ACURA RL,3.7,6.0,SemiAuto-5,4WD,Gasoline,midsize car,7.0,16,22,18,4.0,no
ACURA RL,3.7,6.0,SemiAuto-5,4WD,Gasoline,midsize car,6.0,16,22,18,4.0,no
ACURA TL,3.5,6.0,SemiAuto-5,2WD,Gasoline,midsize car,7.0,18,26,21,5.0,no
ACURA TL,3.7,6.0,SemiAuto-5,4WD,Gasoline,midsize car,7.0,17,25,20,5.0,no
ACURA TL,3.7,6.0,Man-6,4WD,Gasoline,midsize car,7.0,17,25,20,5.0,no
ACURA TL,3.5,6.0,SemiAuto-5,2WD,Gasoline,midsize car,6.0,18,26,21,5.0,no
ACURA TL,3.7,6.0,SemiAuto-5,4WD,Gasoline,midsize car,6.0,17,25,20,5.0,no
ACURA TL,3.7,6.0,Man-6,4WD,Gasoline,midsize car,6.0,17,25,20,5.0,no
ACURA TSX,2.4,4.0,Man-6,2WD,Gasoline,small car,7.0,20,28,23,6.0,yes
ACURA TSX,2.4,4.0,SemiAuto-5,2WD,Gasoline,small car,7.0,21,30,25,7.0,yes
ACURA TSX,3.5,6.0,SemiAuto-5,2WD,Gasoline,small car,7.0,18,27,21,5.0,no
ACURA TSX,2.4,4.0,Man-6,2WD,Gasoline,small car,6.0,20,28,23,6.0,no
