model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,CA,station wagon,9.0,21,30,24,7.0,yes,low,medium,high,mod_high,high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,station wagon,9.0,22,28,24,7.0,yes,low,medium,high,high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,FA,station wagon,8.0,21,30,24,7.0,yes,low,medium,high,mod_high,high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,station wagon,8.0,22,28,24,7.0,yes,low,medium,high,high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,station wagon,7.0,21,28,24,7.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,CA,station wagon,7.0,21,30,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,station wagon,7.0,22,28,24,7.0,yes,low,medium,mod_high,high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,station wagon,6.0,21,28,24,7.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,FA,station wagon,6.0,21,30,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,station wagon,6.0,22,28,24,7.0,yes,low,medium,mod_high,high,mod_high,mod_high,mod_high
AUDI A4,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,7.0,21,27,23,6.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A4,2.0,4.0,Man-6,4WD,Gasoline,CA,small car,7.0,22,30,25,7.0,yes,low,medium,mod_high,high,high,high,mod_high
AUDI A4,2.0,4.0,CVT,2WD,Gasoline,CA,small car,7.0,23,30,26,7.0,yes,low,medium,mod_high,high,high,high,mod_high
AUDI A4,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,6.0,21,27,23,6.0,no,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A4,2.0,4.0,Man-6,4WD,Gasoline,FA,small car,6.0,22,30,25,7.0,yes,low,medium,mod_high,high,high,high,mod_high
AUDI A4,2.0,4.0,CVT,2WD,Gasoline,FA,small car,6.0,23,30,26,7.0,yes,low,medium,mod_high,high,high,high,mod_high
AUDI A4 Avant,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,station wagon,7.0,21,27,23,6.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A4 Avant,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,station wagon,6.0,21,27,23,6.0,no,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A5,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,7.0,21,27,23,6.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,CA,small car,7.0,22,30,25,7.0,yes,low,medium,mod_high,high,high,high,mod_high
AUDI A5,3.2,6.0,SemiAuto-6,4WD,Gasoline,CA,small car,7.0,18,27,21,5.0,no,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A5,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,6.0,21,27,23,6.0,no,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,FA,small car,6.0,22,30,25,7.0,yes,low,medium,mod_high,high,high,high,mod_high
AUDI A5,3.2,6.0,SemiAuto-6,4WD,Gasoline,FA,small car,6.0,18,27,21,5.0,no,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A5 Cabriolet,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,7.0,20,26,23,6.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A5 Cabriolet,2.0,4.0,CVT,2WD,Gasoline,CA,small car,7.0,23,30,26,7.0,yes,low,medium,mod_high,high,high,high,mod_high
AUDI A5 Cabriolet,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,6.0,20,26,23,6.0,no,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A5 Cabriolet,2.0,4.0,CVT,2WD,Gasoline,FA,small car,6.0,23,30,26,7.0,yes,low,medium,mod_high,high,high,high,mod_high
AUDI A6,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,7.0,18,26,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
